Star   [Fe/H] [Fe/H]err   [O1/Fe] [O1/Fe]err  [Na/Fe] [Na/Fe]err  [Mg/Fe] [Mg/Fe]err  [Si/Fe] [Si/Fe]err  [Ca/Fe] [Ca/Fe]err  [Ti1/Fe] [Ti1/Fe]err [Ti2/Fe] [Ti2/Fe]err [Sc/Fe] [Sc/Fe]err [Fe2/Fe] [Fe2/Fe]err  [Cr/Fe] [Cr/Fe]err [Ni/Fe] [Ni/Fe]err  [Co/Fe] [Co/Fe]err  [Zn/Fe] [Zn/Fe]err  [Y/Fe] [Y/Fe]err  [Ba/Fe] [Ba/Fe]err  [La/Fe] [La/Fe]err  [Nd/Fe] [Nd/Fe]err  [Eu/Fe] [Eu/Fe]err
ET0236  -2.41  0.21 -99.00  9.90 -99.00  9.90   0.42  0.22 -99.00  9.90   0.29  0.12 -99.00  9.90   0.09  0.33 -99.00  9.90   0.10  0.38  -0.39  0.20 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.52  0.30 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0237  -1.61  0.18   0.26  0.31 -99.00  9.90   0.34  0.24 -99.00  9.90   0.35  0.08   0.17  0.11   0.19  0.46 -99.00  9.90   0.09  0.26   0.09  0.27   0.13  0.24  -0.09  0.24 -99.00  9.90 -99.00  9.90  -0.11  0.25 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0238  -1.57  0.17 -99.00  9.90 -99.00  9.90   0.38  0.16 -99.00  9.90   0.17  0.06  -0.01  0.08  -0.07  0.24 -99.00  9.90   0.04  0.27  -0.08  0.11  -0.02  0.11  -0.11  0.14 -99.00  9.90 -99.00  9.90  -0.12  0.21 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0239  -2.26  0.21 -99.00  9.90 -99.00  9.90   0.63  0.19 -99.00  9.90   0.33  0.13   0.28  0.19   0.27  0.25 -99.00  9.90   0.06  0.29  -0.20  0.17 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.09  0.26 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0240  -1.15  0.17 -99.00  9.90 -99.00  9.90   0.15  0.23 -99.00  9.90   0.06  0.07  -0.33  0.12   0.18  0.22 -99.00  9.90   0.07  0.26  -0.04  0.22  -0.11  0.23  -0.43  0.20 -99.00  9.90 -99.00  9.90   0.15  0.22  -0.24  0.23 -99.00  9.90 -99.00  9.90
ET0241  -1.41  0.17 -99.00  9.90 -99.00  9.90   0.13  0.17 -99.00  9.90   0.12  0.05  -0.19  0.13   0.07  0.28 -99.00  9.90   0.07  0.28  -0.04  0.12   0.04  0.13  -0.15  0.15 -99.00  9.90 -99.00  9.90   0.12  0.23 -99.00  9.90 -99.00  9.90   0.36  0.25
ET0242  -1.32  0.17 -99.00  9.90 -99.00  9.90  -0.02  0.13 -99.00  9.90   0.04  0.06  -0.14  0.11  -0.07  0.22 -99.00  9.90   0.01  0.26  -0.26  0.11   0.21  0.14  -0.22  0.16 -99.00  9.90 -99.00  9.90  -0.03  0.18  -0.17  0.18 -99.00  9.90 -99.00  9.90
ET0244  -1.24  0.17   0.00  0.24 -99.00  9.90   0.01  0.16 -99.00  9.90   0.03  0.06  -0.12  0.08  -0.15  0.23 -99.00  9.90   0.07  0.28  -0.18  0.15  -0.13  0.17  -0.25  0.14 -99.00  9.90 -99.00  9.90   0.20  0.20  -0.10  0.22 -99.00  9.90   0.24  0.25
ET0270  -1.56  0.16 -99.00  9.90 -99.00  9.90   0.35  0.16 -99.00  9.90   0.28  0.05   0.01  0.10   0.10  0.20 -99.00  9.90   0.08  0.24  -0.08  0.12  -0.01  0.15   0.05  0.14 -99.00  9.90 -99.00  9.90   0.16  0.19  -0.04  0.21 -99.00  9.90 -99.00  9.90
ET0275  -1.21  0.16 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.10  0.08  -0.27  0.14  -0.04  0.25 -99.00  9.90   0.08  0.27  -0.43  0.15 -99.00  9.90  -0.45  0.19 -99.00  9.90 -99.00  9.90   0.18  0.20 -99.00  9.90 -99.00  9.90   0.39  0.27
ET0299  -1.83  0.18 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.20  0.09   0.35  0.20   0.34  0.24 -99.00  9.90   0.00  0.27  -0.15  0.17 -99.00  9.90   0.17  0.18 -99.00  9.90 -99.00  9.90   0.44  0.22 -99.00  9.90   0.70  0.27 -99.00  9.90
ET0300  -1.39  0.20 -99.00  9.90 -99.00  9.90  -0.06  0.25 -99.00  9.90   0.03  0.07   0.14  0.14  -0.10  0.26 -99.00  9.90   0.12  0.29  -0.34  0.18  -0.27  0.25  -0.14  0.24 -99.00  9.90 -99.00  9.90   0.12  0.27 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0317  -1.69  0.19 -99.00  9.90 -99.00  9.90   0.20  0.19 -99.00  9.90   0.13  0.07   0.18  0.10  -0.02  0.25  -0.12  0.27   0.05  0.27  -0.03  0.17   0.05  0.19  -0.02  0.16 -99.00  9.90 -99.00  9.90  -0.15  0.25   0.23  0.21 -99.00  9.90 -99.00  9.90
ET0320  -1.71  0.21 -99.00  9.90 -99.00  9.90   0.22  0.19 -99.00  9.90   0.04  0.09  -0.07  0.14   0.08  0.24 -99.00  9.90   0.06  0.28  -0.27  0.19   0.26  0.15 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.20  0.23   0.26  0.22 -99.00  9.90   0.63  0.29
ET0321  -1.93  0.18   0.25  0.25 -99.00  9.90   0.55  0.17 -99.00  9.90   0.28  0.07   0.29  0.15   0.00  0.22 -99.00  9.90   0.09  0.27  -0.27  0.17   0.54  0.11  -0.11  0.14 -99.00  9.90 -99.00  9.90  -0.20  0.21   0.13  0.21 -99.00  9.90 -99.00  9.90
ET0322  -2.04  0.27 -99.00  9.90 -99.00  9.90   0.74  0.25 -99.00  9.90   0.29  0.16 -99.00  9.90   0.01  0.32 -99.00  9.90   0.13  0.35  -0.31  0.21   0.59  0.23 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.60  0.30 -99.00  9.90 -99.00  9.90 -99.00  9.90
